Artista,Subgênero,Música,Popularidade,Mês,Duração,Período
Iguinho e Lulinha,Forró Romântico,Só Pegava Tu,57,4,2.9989,Antes
Os Barões Da Pisadinha,Piseiro,Já Que Me Ensinou a Beber,58,9,2.6405333333333334,Depois
Os Barões Da Pisadinha,Piseiro,Tá Rocheda,66,9,3.3845833333333335,Depois
Os Barões Da Pisadinha,Piseiro,Camila - Ao Vivo,63,6,3.11265,Durante
Os Barões Da Pisadinha,Piseiro,Recairei - Ao Vivo,58,10,2.7806166666666665,Depois
Os Barões Da Pisadinha,Piseiro,Apaixonado ou Bagaceiro - Ao Vivo,62,6,2.8282,Durante
Os Barões Da Pisadinha,Piseiro,Nunca Vai Ser Eu,61,9,2.361466666666667,Depois
Os Barões Da Pisadinha,Piseiro,Quem Me Dera,61,9,2.268283333333333,Depois
Os Barões Da Pisadinha,Piseiro,Basta Você Me Ligar - Ao Vivo,61,10,3.0496,Depois
Os Barões Da Pisadinha,Piseiro,Bebê Vem Me Procurar,61,9,2.4542,Depois
Os Barões Da Pisadinha,Piseiro,Esquema Preferido - Ao Vivo,60,8,3.366216666666667,Depois
Eric Land,Forró Eletrônico,Pilantra e Meio,68,1,3.14705,Antes
Eric Land,Forró Eletrônico,Na Imaginação,73,4,1.9007333333333334,Antes
Eric Land,Forró Eletrônico,Chorei na Vaquejada,64,5,2.6195,Antes
Eric Land,Forró Eletrônico,Vem Desestressar,61,5,1.9216333333333333,Antes
Eric Land,Forró Eletrônico,Cidade Inteira,57,1,3.574,Antes
Eric Land,Forró Eletrônico,Esqueceu Foi Porra,56,3,2.95885,Antes
Eric Land,Forró Eletrônico,Vaqueira Sexy,55,8,2.0178,Depois
Eric Land,Forró Eletrônico,Vaqueira,54,12,2.6514,Depois
Eric Land,Forró Eletrônico,Pilantra e Meio - Ao Vivo,53,7,2.9644,Depois
Eric Land,Forró Eletrônico,Imagine a Cena,53,10,3.0247,Depois
